word_id,word,sense_no,definition_id
421,distinctive,0,4210
422,modify,0,4220
423,notable,0,4230
424,reflect,0,4240
424,reflect,1,4241
425,definite,0,4250
426,optimism,0,4260
427,arise,0,4270
428,necessarily,0,4280
428,necessarily,1,4281
429,attach,0,4290
430,instance,0,4300
431,constant,0,4310
432,incident,0,4320
433,victim,0,4330
434,consist,0,4340
435,scatter,0,4350
436,amend,0,4360
437,advantage,0,4370
438,effort,0,4380
439,give rise to,0,4390
440,prey,0,4400
441,tremendous,0,4410
442,optical,0,4420
443,intact,0,4430
444,intake,0,4440
445,lay,0,4450
445,lay,1,4451
445,lay,2,4452
446,apparent,0,4460
447,interfere,0,4470
448,subsititute,0,4480
449,dull,0,4490
450,release,0,4500
450,release,1,4501
