word_id,word,sense_no,definition_id
511,term,0,5110
511,term,1,5111
512,setback,0,5120
513,excavation,0,5130
514,current,0,5140
514,current,1,5141
515,perceive,0,5150
516,observe,0,5160
517,reasonable,0,5170
518,remove,0,5180
519,conventional,0,5190
520,appliance,0,5200
521,stress,0,5210
521,stress,1,5211
522,frequent,0,5220
523,disclose,0,5230
524,dismissive,0,5240
525,frustration,0,5250
526,appeal,0,5260
526,appeal,1,5261
527,freight,0,5270
528,adopt,0,5280
529,elusive,0,5290
530,induce,0,5300
531,dye,0,5310
532,temporary,0,5320
533,income,0,5330
534,prior,0,5340
535,anticipate,0,5350
536,shun,0,5360
537,injury,0,5370
538,call for,0,5380
539,apparatus,0,5390
540,atmosphere,0,5400
540,atmosphere,1,5401
