word_id,word,sense_no,definition_id
451,activate,0,4510
452,litter,0,4520
452,litter,1,4521
453,forage,0,4530
454,depending on,0,4540
455,ecological,0,4550
456,divide,0,4560
457,estimate,0,4570
458,thoroughly,0,4580
459,magnificent,0,4590
460,exceptional,0,4600
461,valid,0,4610
462,disastrous,0,4620
463,absence,0,4630
464,pollution,0,4640
465,reproduce,0,4650
465,reproduce,1,4651
466,nearly,0,4660
467,discard,0,4670
468,verification,0,4680
469,aware,0,4690
470,measure,0,4700
470,measure,1,4701
471,component,0,4710
472,sediment,0,4720
473,acoustic,0,4730
473,acoustic,1,4731
474,beyond,0,4740
475,emit,0,4750
476,afford,0,4760
477,eligible,0,4770
478,terrestrial,0,4780
479,degraded,0,4790
480,carry,0,4800
480,carry,1,4801
480,carry,2,4802
