word_id,word,sense_no,definition_id
481,cure,0,4810
481,cure,1,4811
482,transform,0,4820
483,devastate,0,4830
484,conservative,0,4840
485,devoted,0,4850
486,alternative,0,4860
486,alternative,1,4861
487,fragile,0,4870
488,enlarge,0,4880
489,premises,0,4890
490,otherwise,0,4900
490,otherwise,1,4901
491,insist,0,4910
492,element,0,4920
493,flourish,0,4930
494,delicate,0,4940
495,sensible,0,4950
496,overcome,0,4960
497,volunteer,0,4970
497,volunteer,1,4971
498,readily,0,4980
499,synthetic,0,4990
500,essential,0,5000
501,verbal,0,5010
502,plausible,0,5020
503,primitive,0,5030
504,transit,0,5040
504,transit,1,5041
505,situate,0,5050
506,fishery,0,5060
507,discharge,0,5070
508,germination,0,5080
509,inclination,0,5090
510,ever,0,5100
510,ever,1,5101
510,ever,2,5102
